gene	log2fc_fudan	n_pairs_fudan	pval_fudan
ARF6	-0.4753981428183369	28	2.0518898963928223e-05
ARFGAP1	0.09993195701986883	13	0.497314453125
ARFGAP2	0.09759350754197124	20	0.6742229461669922
ARFGAP3	-0.12256955200440672	12	0.791015625
ARFGEF1	0.27096873392643317	27	0.4270208328962326
ARFGEF2	0.18656614602170465	27	0.39974282681941986
ARFIP1	-0.07436519632412762	28	0.3160962611436844
ARHGAP1	0.43419052219016896	28	0.020409412682056427
ARHGAP12	-1.3273681900437673	21	2.86102294921875e-06
ARHGAP17	0.5241846910023982	27	0.3361395001411438
ARHGAP18	0.0924312868509641	5	
ARHGAP25	-1.4970525883863268	18	0.0599365234375
ARHGAP35	-0.002592444616524465	25	0.9158032536506653
ARHGAP4	1.2245557071532196	25	0.017312347888946533
ARHGAP44	-0.9656436249579928	8	0.0078125
ARHGAP5	0.5209430427008046	12	0.30126953125
ARHGDIA	0.22838172297587805	28	0.040213532745838165
ARHGDIB	0.20618185640107028	28	0.2015676274895668
ARHGEF1	0.5757168287028034	28	0.033681392669677734
ARHGEF10L	-1.320655357577224	18	0.0023345947265625
ARHGEF11	-0.4631984549800009	12	0.33935546875
ARHGEF12	-0.39946469532061	28	0.042608387768268585
ARHGEF16	0.09651952322980407	22	0.8485937118530273
ARHGEF17	0.6190143492556085	13	0.17626953125
ARHGEF2	0.47475990574544924	28	0.04774715006351471
ARHGEF40	0.4480673197578381	20	0.26109886169433594
ARHGEF6	0.30752837747087164	14	0.7608642578125
ARHGEF7	1.1944801478830938	28	0.0005833879113197327
ARID1A	-0.05052529885471933	12	0.67724609375
ARID2	-0.09067035894006407	9	0.91015625
ARL1	-0.270433086118214	28	0.13751810044050217
ARL2	0.318497205820318	20	0.2305126190185547
ARL3	1.51785689848619	26	3.2782554626464844e-06
ARL6IP4	1.1493008041783224	6	0.4375
ARL6IP5	-0.00846916388804594	28	0.46517620980739594
ARL8B	-0.10474274445950443	21	0.6332969665527344
ARMC1	1.0382542247126585	14	0.0418701171875
ARMC10	0.5278742287063946	22	0.07942724227905273
ARMC8	0.06660500624207988	8	0.84375
ARNT	0.7686744538935444	5	
ARPC1A	0.7746407451727901	22	0.0021948814392089844
ARPC1B	0.7159151344216861	26	0.0002174675464630127
ARPC2	0.2148471163087683	28	0.08145394921302795
ARPC3	-0.7734458401046461	26	0.1899040937423706
ARPC4	0.12472194984959946	28	0.5221440717577934
ARPC5	0.06783801287400097	26	0.4082431197166443
ARPC5L	-0.07674043213512045	28	0.813923291862011
ARPP19	-0.01662785572331138	7	0.6875
ARRB1	-0.7729943122379326	28	0.009536407887935638
ARRB2	0.34244745553159855	6	0.6875
ARRDC1	1.230470102340336	9	0.07421875
ARSA	-1.1729329610001364	27	9.5367431640625e-06
