gene	spearman_r	n_samples
ADGRG1	0.39542354115532735	87
ADH1B	0.6489825683715976	96
ADH1C	0.6249292054029008	96
ADH5	0.29354811364966094	96
ADH6	0.5691119691119692	36
ADI1	0.2659144117600216	91
ADIRF	0.40509643134734924	96
ADK	0.3312510809757478	96
ADNP	0.743596439207623	96
ADO	0.33797161417708915	96
ADPGK	0.3570139861244283	96
ADPRH	0.509251628034311	91
ADPRHL2	0.30608168377474515	96
ADRM1	0.3227775554710397	96
ADSL	0.5508737541447251	96
ADSS	0.15985594042281892	96
ADTRP	0.35489650466070655	54
AEBP1	0.5774427217395313	96
AES	0.20235217733865088	55
AFAP1	0.17806026978089334	94
AFAP1L2	0.5397443754106773	92
AFDN	0.5203982664136679	96
AFF4	0.13492063492063494	55
AFG1L	0.04342279847083119	49
AFG3L2	0.5242613744751059	96
AFTPH	0.09275487157439828	96
AGAP1	0.062061623246493	66
AGAP3	0.05221347344372655	70
AGFG1	0.31188298461989244	96
AGFG2	0.723781488815954	96
AGK	0.4120934650684077	96
AGL	0.45459416564363087	96
AGMAT	0.4221885354058048	96
AGO1	0.36067352866555186	96
AGO2	0.4512374609264187	96
AGO3	0.05068217255003384	87
AGPAT1	0.23276098877940607	96
AGPAT2	0.5564884349117142	92
AGPAT3	0.47391606613244125	96
AGPAT5	0.45026570400798804	96
AGPS	0.24741666696208103	96
AGR2	0.8062005514580761	96
AGR3	0.8118492895921117	96
AGRN	0.12517125843015023	96
AGT	-0.17930709387738492	96
AGTRAP	0.3890766412079043	82
AHCTF1	0.3947962803533734	96
AHCY	0.41199411282901516	96
AHCYL1	0.09994811326990573	96
AHCYL2	0.752166261236494	96
AHNAK	0.2772361170385834	96
AHNAK2	0.44213153747529155	96
AHR	0.5429921001802921	80
AHSA1	0.792413734674329	96
AIDA	0.42681669584128545	96
AIF1	0.43718132220277434	95
AIF1L	0.6068877174590771	21
AIFM1	0.5571502211641517	96
AIFM2	0.5641149328403644	72
AIG1	0.26655591709310805	43
AIM1	0.7538804315409635	96
AIMP1	0.39816871555972927	96
AIMP2	0.28243050307754536	96
AIP	0.47422253878952064	96
AK1	0.7409266330703962	96
AK2	-0.006077213163817587	96
AK3	0.7062518016474028	96
AK4	0.7874971174505256	96
AK6	0.5190508021390374	33
AKAP1	0.5646189063974046	96
AKAP12	0.6453906963039744	96
AKAP13	0.12361002309492909	96
AKAP17A	0.1854645600525306	84
AKAP5	0.5039929139449005	61
AKAP8	0.14800960436606428	96
AKAP8L	0.5590920498531253	96
AKAP9	0.36894277236329154	96
AKR1A1	0.20414544320023878	96
AKR1B1	0.4299027704445849	96
AKR1B10	0.6623299983042225	96
AKR1C2	0.46267780419059185	81
AKR1C3	0.6739329485414307	96
AKR7A2	0.48894947997090876	96
AKR7A3	0.7097966603074317	96
AKT1	0.35326593800329975	96
AKT1S1	0.18096566102339467	87
AKT2	0.17300373791861767	81
AKTIP	0.0506440251848531	67
ALAD	0.40076983078210154	96
ALAS1	0.2286574061665593	20
ALCAM	0.8553958639961475	96
ALDH16A1	0.3405060586656946	96
ALDH18A1	0.6150123610896843	96
ALDH1A1	0.6064333436328518	96
ALDH1A3	0.6318813056416158	96
ALDH1B1	0.6580505572022738	96
ALDH1L1	0.671447467582847	96
ALDH1L2	0.5332076291220127	96
ALDH2	0.5670402713829159	96
ALDH3A2	0.6633884303278671	96
ALDH3B1	0.11409770044016494	39
ALDH4A1	0.7627995781629412	96
ALDH5A1	0.6575644430012751	96
ALDH6A1	0.44956200594458123	96
ALDH7A1	0.5798749946524393	96
ALDH9A1	0.3817753285839213	96
ALDOA	0.5497151383613673	96
ALDOB	0.6099815850925889	96
ALDOC	0.6106086349354414	96
ALG1	0.3480074472759123	96
ALG11	0.2918974984137902	90
ALG12	-0.00517419619092787	83
ALG13	0.20078107462058112	88
ALG14	0.34933289579269045	45
ALG2	0.19528672055380616	96
ALG5	0.5465650201100116	96
ALG6	0.423875790025818	31
ALG8	0.42529644268774697	45
ALG9	0.18007880848400357	75
ALKBH5	0.43433460452563977	65
ALKBH7	0.20474678255055995	33
ALOX5	0.6923956065069572	96
