gene	log2fc	pval	qval	n_pairs
DNAJC21	-0.016319999999999984	0.5099141109240009	0.5477127393834649	40
DNAJC25	-0.011323404255319141	0.9456817019458015	0.9531320335808792	47
DNAJC3	0.22493125	2.3008385356869617e-06	4.5295262036061e-06	96
DNAJC30	0.03432894736842107	0.5815694303877283	0.6166823626475849	38
DNAJC5	0.4535739583333336	3.197090561352399e-12	1.2173257988713534e-11	96
DNAJC7	0.3546854166666665	1.3260319317773242e-14	7.776919621124621e-14	96
DNAJC8	0.25459374999999995	1.3900861255039677e-10	4.2821009108139627e-10	96
DNAJC9	0.4404093750000002	9.875798400464077e-17	1.6045602882427223e-15	96
DNASE2	0.3313864583333333	7.934408270199648e-07	1.6363954837002592e-06	96
DNM1	-0.034412500000000026	0.3096777683193036	0.3459830387434152	96
DNM1L	-0.09480520833333338	3.754951314179982e-05	6.563827088804977e-05	96
DNM2	-0.11922708333333336	6.593209040692765e-05	0.00011278388438043795	96
DNM3	-0.32430114942528754	0.00013132083529907924	0.0002192711508266607	87
DNMBP	-0.4703333333333334	9.016381018869308e-08	2.0401652700031766e-07	87
DNMT1	0.4147364583333333	9.672850305883073e-15	5.872864497933895e-14	96
DNPEP	-0.27068124999999993	6.974986672129704e-10	1.991284492907157e-09	96
DNPH1	-0.22330208333333337	7.594492152795994e-05	0.00012925278501549548	96
DNTTIP1	-0.07837812499999998	0.012825233641194905	0.01735117816067284	96
DNTTIP2	0.2198011494252873	2.984896144821207e-08	7.106036771831092e-08	87
DOCK1	-0.24506666666666663	5.182776903909981e-08	1.204825025929732e-07	96
DOCK10	-0.38515443037974684	2.6415670452355996e-09	7.0860748926372005e-09	79
DOCK11	-0.14719895833333332	0.000954851223941892	0.0014636104302367032	96
DOCK2	-0.24220312499999988	1.2188349827795858e-08	3.028579222025275e-08	96
DOCK5	-0.18642873563218385	1.8141225822039712e-05	3.2779284686254895e-05	87
DOCK6	0.06631458333333333	0.07910585898631631	0.09698852484268936	96
DOCK7	-0.05059270833333331	0.056448959431977364	0.07070926666768948	96
DOCK8	-0.16067654320987657	0.0007812363125196912	0.0012065640931617422	81
DOCK9	-0.16333854166666661	1.7182113536688126e-07	3.786951370487537e-07	96
DOHH	-0.1276057471264368	0.004664138291510711	0.006635221331158898	87
DOK1	-0.05496770833333333	0.31846033562082066	0.35514467946809936	96
DOK2	-0.1513547945205479	0.005315480014907659	0.007523534898737445	73
DOK3	0.05639642857142857	0.6295278295874596	0.6629261040185632	28
DOLPP1	-0.21272708333333334	0.001325874034044834	0.0020016401652580536	48
DOPEY2	-0.34085208333333356	7.290684553826028e-12	2.6298472341852252e-11	96
DPAGT1	-0.037234375000000014	0.5296492958976553	0.5670949770471384	96
DPCD	0.14239130434782607	0.00427738696311053	0.006112761821948071	46
DPEP1	0.8512906250000002	8.550639559877132e-07	1.7586586596534305e-06	96
DPF2	0.18521562500000002	2.405550787174091e-10	7.214501667926231e-10	96
DPH1	0.1719740740740741	0.11105082929134369	0.13333745521567256	27
DPH2	-0.16488472222222222	0.001168863782961652	0.0017745886218351941	72
DPM1	0.13805625000000007	4.096521623575138e-05	7.136734243719969e-05	96
DPM3	0.29730729166666664	3.6419722087749526e-11	1.205426322085405e-10	96
DPP3	0.11153854166666662	0.0005280340412200576	0.0008304220306013517	96
DPP4	-0.34719125	0.00017974411835283035	0.0002965092918684875	80
DPP7	-0.19146979166666664	2.1731384263555053e-05	3.891002322503092e-05	96
DPP9	0.13489687499999997	8.793473093128954e-07	1.803589452210399e-06	96
DPT	-1.7344343750000004	2.0202061895772765e-17	9.541570874547247e-16	96
DPY19L1	0.18759285714285712	0.0451183095574379	0.05718850157204815	28
DPY30	0.30855625000000003	3.5738933401968235e-08	8.419418412306097e-08	96
DPYD	-0.6675520833333334	1.4513504902451797e-15	1.1441962913108003e-14	96
DPYSL2	-0.8685916666666668	2.123454551710004e-16	2.628610808420695e-15	96
DPYSL3	-0.8301843750000003	2.772381274864404e-10	8.262952453605192e-10	96
DPYSL4	0.13050769230769232	0.3940727114677429	0.43228152734419345	26
DR1	0.12204062500000001	2.4949660756596422e-05	4.438872541937689e-05	96
DRAP1	0.16422499999999998	1.7275901242789293e-05	3.1249399147444966e-05	96
DRG1	0.4930333333333332	8.209373535789914e-17	1.480556103538025e-15	96
DRG2	-0.2788177083333333	7.197833362972451e-12	2.5990454269204615e-11	96
DSC2	-0.17684479166666664	0.005008088467165638	0.007104992558593109	96
DSCC1	0.4554055555555557	1.935995533131063e-05	3.491557535423737e-05	36
DSCR3	-0.631506329113924	1.32220685401872e-13	6.233791836691212e-13	79
DSG2	0.3118489583333334	4.245842263219567e-09	1.10967494132996e-08	96
DSN1	0.29403333333333326	0.001038169488310814	0.0015851340685200843	30
DSP	0.25127499999999986	3.93779172059313e-05	6.87090888256419e-05	96
DST	-0.45050208333333325	1.7330132142444467e-15	1.3197968003999995e-14	96
DSTN	-1.5468364583333338	4.666240941127661e-16	4.672769945846099e-15	96
DTD1	-0.07889374999999996	0.1876917076505502	0.21754269431122814	64
DTNA	-1.498797916666667	7.143557447172616e-17	1.3811563951896566e-15	96
DTNBP1	0.2308735632183907	2.2133675800803105e-07	4.825961356762692e-07	87
DTX3L	0.4631916666666667	3.290287176571422e-14	1.7491708928381672e-13	96
DTYMK	0.42816770833333334	7.25569808994239e-17	1.3868512389009543e-15	96
DUOX2	0.27188275862068967	0.02761604110120712	0.035982913138084785	58
DUS1L	0.17283043478260876	0.0448758602142334	0.056902692530200694	23
DUS2	0.09738245614035088	0.051584668935991555	0.0649186914071595	57
DUS3L	0.3003886075949368	1.9628629921742217e-08	4.752381022914779e-08	79
DUSP12	0.19195833333333334	0.003492006682790816	0.0050328405660244	36
DUSP23	0.05785624999999996	0.08790301465841603	0.10716724065842508	96
DUSP3	-0.8055041666666666	1.7439198144976713e-13	8.063375627474071e-13	96
DUT	0.0032854166666666617	0.7560922437449658	0.7808405060171438	96
DVL2	-0.18645238095238095	0.09579944610595703	0.1162239573101023	21
DVL3	-0.3294521739130435	0.00047516822814941406	0.0007502715092149727	23
DYM	-0.09340886075949367	0.08808400202859326	0.10736838110643754	79
DYNC1H1	-0.27352604166666666	1.2168332364802927e-14	7.205777825064197e-14	96
DYNC1I1	-1.2735461538461534	1.2814998626708984e-06	2.5888535316648772e-06	26
DYNC1I2	-0.1707124999999999	2.6412466614915507e-08	6.319587679010989e-08	96
DYNC1LI1	-0.12880937499999998	0.00030565552207182734	0.0004931801100480736	96
DYNC1LI2	-0.41458229166666677	9.865484715781755e-16	8.335961833523904e-15	96
DYNLL1	-0.1450041666666667	7.850046755017004e-06	1.4702949100895892e-05	96
DYNLL2	-0.5952041666666669	2.0270787472989134e-13	9.289392975156017e-13	96
DYNLRB1	-0.4672114583333333	6.432744577448839e-10	1.8412411767282097e-09	96
DYNLT1	-0.19033750000000005	7.783404290814341e-06	1.4582200331492157e-05	96
DYNLT3	-0.5983979591836736	1.0623715240853926e-09	2.9697710646203744e-09	49
DYRK1A	-0.23828181818181815	0.00031562685035169125	0.0005071953386849093	33
DYSF	-0.6426395833333333	2.698843427501499e-13	1.2095217471681735e-12	96
E2F4	0.23025901639344265	0.00019037022359091933	0.000312884328777922	61
EAPP	0.06722000000000002	0.8408222198486328	0.8596580726858393	20
EARS2	-0.02847083333333333	0.5106821130890163	0.5484498634087098	96
EBAG9	-0.03564571428571429	0.5609241861506711	0.5967713867562404	35
EBNA1BP2	0.7651635416666669	1.780857763610672e-17	9.541570874547247e-16	96
EBP	0.3101121212121212	0.004284561611711979	0.006121193324739282	33
ECE1	-0.3876270833333335	1.785037440175343e-15	1.3531995690549578e-14	96
