rank,gene,rna_lfc,rna_p,rna_q,mean_tumor_log2tpm,mean_normal_log2tpm,n_tumor,n_normal,prot_lfc,prot_p,prot_q,n_pairs,neglog10p,gen_p,gen_q,mut_freq,n_mutated,cds_len,n_patients,concordant,transcriptomic,proteomic,genomic,score,score_genomic_weighted
2987,MGMT,0.0230001302852569,0.0179673509884067,0.0230713101171586,3.5622375381684064,3.5392374078831494,471,41,-0.2255770833333333,5.184444419484338e-05,8.950704480267736e-05,96,0.5461155088545354,0.2843704669665688,0.9999999997893128,0.0188679245283018,2,624.0,106,False,0.0230001302852569,0.2255770833333333,0.5461155088545354,0.4356833642547928,0.5338589981447124
2988,DAAM1,-0.3029972249102912,0.0130701076672989,0.0170476719099986,3.0341436698008253,3.3371408947111165,471,41,-0.3675216216216216,0.0050744779146043,0.0071976051435688,37,0.1029459311093266,0.7889583354141794,0.9999999997893128,0.0377358490566037,4,3237.0,106,True,0.3029972249102912,0.3675216216216216,0.1029459311093266,0.4353054353054353,0.4085755514326943
2989,OGT,1.0519481624279416,8.000572551293463e-16,4.1234440503608185e-15,5.772873116666917,4.720924954238975,471,41,0.2062072916666667,9.547247979105336e-13,3.898508015326701e-12,96,0.0137687265564209,0.9687936274724692,0.9999999997893128,0.0188679245283018,2,3141.0,106,True,1.0519481624279416,0.2062072916666667,0.0137687265564209,0.43530543530543525,0.33895073180787466
2990,VDAC3,0.3014521364910525,9.129505656999836e-05,0.0001457262069477,6.932900447327451,6.631448310836398,471,41,0.3429833333333334,1.683604363489409e-10,5.141238814133111e-10,96,0.1158191236909369,0.7659155313627461,0.9999999997893128,0.0094339622641509,1,855.0,106,True,0.3014521364910525,0.3429833333333334,0.1158191236909369,0.43523672095100663,0.41609977324263037
2991,NANS,-0.4337652524291053,1.2462220546923946e-06,2.335307151009551e-06,5.39058129959521,5.824346552024315,471,41,-0.3175531249999999,1.2596106603190642e-05,2.313366526164961e-05,96,0.0755871353840806,0.8402584035666365,0.9999999997893128,0.0094339622641509,1,1080.0,106,True,0.4337652524291053,0.3175531249999999,0.0755871353840806,0.43520236377379234,0.3896619253762111
2992,AKTIP,-0.0938658658916984,0.3738499832808249,0.4070567855055771,3.580163743218168,3.6740296091098665,471,41,-0.2474184210526316,0.0001057960907928,0.0001778466482408,38,0.3574333351145872,0.4391032635089186,0.9999999997893128,0.0188679245283018,2,882.0,106,True,0.0938658658916984,0.2474184210526316,0.3574333351145872,0.435168006596578,0.5045866831581117
2993,ITPA,0.8521859885874505,7.648521147907304e-16,3.955891510596051e-15,6.562311523841151,5.710125535253701,471,41,0.006165625,0.8823429960394003,0.8965075208887379,96,0.200845362812561,0.6297303680640233,0.9999999997893128,0.0094339622641509,1,585.0,106,True,0.8521859885874505,0.006165625,0.200845362812561,0.4347557204700062,0.45871985157699446
2994,NT5DC3,0.3515101010639121,0.0046921554519093,0.0064061981288142,3.3155723677888256,2.9640622667249135,471,41,-0.5750222222222222,2.421215614511585e-08,5.8097051351066616e-08,90,0.0273267852005334,0.9390164810328766,0.9999999997893128,0.0094339622641509,1,1647.0,106,False,0.3515101010639121,0.5750222222222222,0.0273267852005334,0.43461829176114886,0.35054627911770764
2995,FAM172A,-0.0920810945750361,0.6415348730845345,0.6712256880403008,3.4025742529937775,3.4946553475688136,471,41,-0.14138,0.0055358019468861,0.0078123044303027,65,0.7950783015146661,0.160295635817519,0.9999999997893128,0.0377358490566037,4,1251.0,106,True,0.0920810945750361,0.14138,0.7950783015146661,0.4344465058750773,0.5516903731189445
2996,WDR13,0.2130517457598477,0.0013354564991619,0.0019241368245718,5.197541522203122,4.984489776443274,471,41,-0.3466052083333333,9.9539482911529e-15,6.022346739235279e-14,96,0.1516099363942781,0.7053262766361698,0.9999999997893128,0.0188679245283018,2,1458.0,106,False,0.2130517457598477,0.3466052083333333,0.1516099363942781,0.43430907716622,0.4350649350649351
